名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,100000003.0,0.1,0.0,5.0000000366629305,6.684323561795025e-21,1.336864712359005e-21
正三角形,5,100000003.0,0.1,1.0,5.000000011812739,7.951375116228609e-21,1.5902750232457218e-21
正三角形,5,100000003.0,0.1,2.0,4.999999969491242,8.613889881020895e-21,1.722777976204179e-21
正三角形,5,100000003.0,0.1,3.0,4.999999967294352,5.533881572755423e-21,1.1067763145510846e-21
正三角形,5,100000003.0,0.1,4.0,5.000000013087694,3.953970622331897e-21,7.907941244663794e-22
正三角形,5,100000003.0,0.1,5.0,5.000000045744478,1.1547321196764925e-20,2.309464239352985e-21
正三角形,5,100000003.0,0.1,6.0,5.000000012583146,2.289797793755971e-20,4.579595587511942e-21
正三角形,5,100000003.0,0.1,7.0,4.999999953201314,2.1072274455503614e-20,4.214454891100723e-21
正三角形,5,100000003.0,0.1,8.0,4.99999995818493,5.18335130537467e-21,1.036670261074934e-21
正三角形,5,100000003.0,0.1,9.0,5.000000033261079,5.4601146488393794e-21,1.0920229297678758e-21
正三角形,5,100000003.0,0.1,10.0,5.000000068695513,4.494929359704737e-20,8.989858719409473e-21
正三角形,5,100000003.0,0.1,11.0,4.999999995595356,8.664713572342858e-20,1.7329427144685716e-20
正三角形,5,100000003.0,0.1,12.0,4.999999913413882,6.558190408706656e-20,1.3116380817413311e-20
正三角形,5,100000003.0,0.1,13.0,4.999999961525937,1.017500986489713e-20,2.035001972979426e-21
正三角形,5,100000003.0,0.1,14.0,5.000000088519775,7.758982498086048e-20,1.5517964996172094e-20
正三角形,5,100000003.0,0.1,15.0,5.000000092132647,3.562551483696051e-19,7.125102967392102e-20
正三角形,5,100000003.0,0.1,16.0,4.999999932779494,6.45120062196088e-19,1.290240124392176e-19
正三角形,5,100000003.0,0.1,17.0,4.999999848351573,7.236827339343898e-19,1.4473654678687795e-19
正三角形,5,100000003.0,0.1,18.0,5.0000000140992045,1.4471577016812287e-18,2.8943154033624574e-19
正三角形,5,100000003.0,0.1,19.0,5.0000002107727886,7.71750080198173e-18,1.543500160396346e-18
正三角形,5,100000003.0,0.1,20.0,5.000000084771271,6.991831335889524e-17,1.398366267177905e-17
正三角形,5,100000003.0,0.1,21.0,4.999999738498995,8.669388052519547e-16,1.7338776105039095e-16
正三角形,5,100000003.0,0.1,22.0,4.999999733484464,6.930984322101648e-17,1.3861968644203296e-17
正三角形,5,100000003.0,0.1,23.0,5.0000002944074575,4.4566985852369536e-17,8.913397170473907e-18
正三角形,5,100000003.0,0.1,24.0,5.000000694454314,4.1475362980451785e-17,8.295072596090357e-18
正三角形,5,100000003.0,0.1,25.0,4.999999730823488,7.787741009685034e-17,1.5575482019370068e-17
正三角形,5,100000003.0,0.1,26.0,4.999994168024401,1.3894765456817915e-15,2.778953091363583e-16
正三角形,5,100000003.0,0.1,27.0,5.000000547603421,2.817503098166663e-16,5.635006196333326e-17
正三角形,5,100000003.0,0.1,28.0,4.999998973907436,3.9843661439610587e-17,7.968732287922117e-18
正三角形,5,100000003.0,0.1,29.0,4.9999995926294565,1.624339959808617e-17,3.248679919617234e-18
正三角形,5,100000003.0,0.1,30.0,5.0000003664149215,1.009276418278997e-17,2.018552836557994e-18
正三角形,5,100000003.0,0.1,31.0,5.000000358197643,5.096455319953808e-18,1.0192910639907617e-18
正三角形,5,100000003.0,0.1,32.0,4.9999998731304816,2.9856667763358936e-18,5.971333552671787e-19
正三角形,5,100000003.0,0.1,33.0,4.999999697140185,8.030729073245784e-18,1.6061458146491567e-18
正三角形,5,100000003.0,0.1,34.0,4.99999999142794,1.9239566067779923e-17,3.8479132135559846e-18
正三角形,5,100000003.0,0.1,35.0,5.000000237996797,2.876716028657439e-17,5.753432057314878e-18
正三角形,5,100000003.0,0.1,36.0,5.000000092904823,2.048368705268693e-17,4.096737410537386e-18
正三角形,5,100000003.0,0.1,37.0,4.999999836101739,4.560354567234857e-17,9.120709134469715e-18
正三角形,5,100000003.0,0.1,38.0,4.999999862100317,2.282768464969846e-17,4.565536929939692e-18
正三角形,5,100000003.0,0.1,39.0,5.000000092719034,8.790767991769738e-18,1.7581535983539478e-18
正三角形,5,100000003.0,0.1,40.0,5.000000155345611,1.7045857626008504e-18,3.4091715252017007e-19
正三角形,5,100000003.0,0.1,41.0,4.999999974702861,2.8991483779788907e-19,5.798296755957781e-20
正三角形,5,100000003.0,0.1,42.0,4.999999851263983,1.0625161668687989e-18,2.1250323337375978e-19
正三角形,5,100000003.0,0.1,43.0,4.999999967944748,1.344869353655534e-18,2.6897387073110677e-19
正三角形,5,100000003.0,0.1,44.0,5.000000123730096,7.701445995499419e-19,1.5402891990998838e-19
正三角形,5,100000003.0,0.1,45.0,5.000000075191748,2.251398605013825e-19,4.5027972100276505e-20
正三角形,5,100000003.0,0.1,46.0,4.99999991355308,2.216082219511388e-19,4.4321644390227756e-20
正三角形,5,100000003.0,0.1,47.0,4.9999998982957745,4.485069044472103e-19,8.970138088944205e-20
正三角形,5,100000003.0,0.1,48.0,5.000000043457355,4.503169094921522e-19,9.006338189843044e-20
正三角形,5,100000003.0,0.1,49.0,5.000000111346253,2.3039733333950176e-19,4.6079466667900355e-20
正三角形,5,100000003.0,0.1,50.0,4.999999997591778,9.8283300294971e-20,1.9656660058994198e-20
正三角形,5,100000003.0,0.1,51.0,4.999999889416515,1.9037158122573808e-19,3.807431624514762e-20
正三角形,5,100000003.0,0.1,52.0,4.999999935228851,2.256523641575671e-19,4.5130472831513417e-20
正三角形,5,100000003.0,0.1,53.0,5.000000076249197,2.1583290303990562e-19,4.3166580607981126e-20
正三角形,5,100000003.0,0.1,54.0,5.000000072891154,9.563845202352176e-20,1.9127690404704352e-20
正三角形,5,100000003.0,0.1,55.0,4.999999951292846,7.071388772578254e-20,1.4142777545156507e-20
正三角形,5,100000003.0,0.1,56.0,4.999999912615959,1.7368645313636504e-19,3.4737290627273005e-20
正三角形,5,100000003.0,0.1,57.0,5.000000014755502,2.4462533435929606e-19,4.892506687185921e-20
正三角形,5,100000003.0,0.1,58.0,5.000000089488678,1.5376812636024523e-19,3.075362527204905e-20
正三角形,5,100000003.0,0.1,59.0,5.000000019043246,6.033767689525352e-21,1.2067535379050704e-21
正三角形,5,100000003.0,0.1,60.0,4.999999920755352,4.325642841848238e-18,8.651285683696477e-19
正三角形,5,100000003.0,0.1,61.0,4.999999952020083,5.082908846399248e-20,1.0165817692798496e-20
正三角形,5,100000003.0,0.1,62.0,5.000000058824454,4.423593677998669e-20,8.847187355997338e-21
正三角形,5,100000003.0,0.1,63.0,5.00000006848031,1.2211826593212167e-19,2.4423653186424334e-20
正三角形,5,100000003.0,0.1,64.0,4.999999968390612,1.1825508964022034e-19,2.3651017928044066e-20
正三角形,5,100000003.0,0.1,65.0,4.999999921611768,7.418901658399558e-20,1.4837803316799117e-20
正三角形,5,100000003.0,0.1,66.0,5.000000001699487,5.503240311715355e-20,1.100648062343071e-20
正三角形,5,100000003.0,0.1,67.0,5.000000077132226,6.909610990742206e-20,1.3819221981484413e-20
正三角形,5,100000003.0,0.1,68.0,5.000000026729468,8.25079404907337e-20,1.6501588098146742e-20
正三角形,5,100000003.0,0.1,69.0,4.999999934242182,7.463221169939215e-20,1.492644233987843e-20
正三角形,5,100000003.0,0.1,70.0,4.999999949986019,5.787163883083415e-20,1.157432776616683e-20
正三角形,5,100000003.0,0.1,71.0,5.000000046831148,5.43856143713624e-20,1.087712287427248e-20
正三角形,5,100000003.0,0.1,72.0,5.0000000656183445,3.365725728147906e-19,6.731451456295812e-20
正三角形,5,100000003.0,0.1,73.0,4.999999975532248,4.9859020684502956e-20,9.971804136900591e-21
正三角形,5,100000003.0,0.1,74.0,4.999999926867927,5.698888045246392e-20,1.1397776090492783e-20
正三角形,5,100000003.0,0.1,75.0,5.0000000063281655,5.852744499104905e-20,1.1705488998209811e-20
正三角形,5,100000003.0,0.1,76.0,5.000000081632624,5.686467004395827e-20,1.1372934008791655e-20
正三角形,5,100000003.0,0.1,77.0,4.9999998518861535,3.848470596648336e-20,7.696941193296672e-21
正三角形,5,100000003.0,0.1,78.0,4.999999992105511,5.910360340513346e-20,1.1820720681026692e-20
正三角形,5,100000003.0,0.1,79.0,4.999999926904169,5.156883952599293e-20,1.0313767905198587e-20
正三角形,5,100000003.0,0.1,80.0,5.000000011852628,4.540214563130092e-20,9.080429126260183e-21
正三角形,5,100000003.0,0.1,81.0,5.000000070910583,5.207704131628082e-20,1.0415408263256164e-20
正三角形,5,100000003.0,0.1,82.0,5.000000008735094,5.235505831576392e-20,1.0471011663152784e-20
正三角形,5,100000003.0,0.1,83.0,4.999999933142975,5.1055161501711436e-20,1.0211032300342288e-20
正三角形,5,100000003.0,0.1,84.0,4.99999996857892,4.986039336461819e-20,9.972078672923637e-21
正三角形,5,100000003.0,0.1,85.0,5.000000055205687,4.984027967757947e-20,9.968055935515894e-21
正三角形,5,100000003.0,0.1,86.0,5.000000051010799,5.016107300845768e-20,1.0032214601691536e-20
正三角形,5,100000003.0,0.1,87.0,4.999999963597161,4.991419006662735e-20,9.98283801332547e-21
正三角形,5,100000003.0,0.1,88.0,4.999999935849023,4.943911035322442e-20,9.887822070644884e-21
正三角形,5,100000003.0,0.1,89.0,5.000000012709952,4.9328987467348813e-20,9.865797493469763e-21
正三角形,5,100000003.0,0.1,90.0,5.00000006876781,4.9394872490178166e-20,9.878974498035633e-21
正三角形,5,100000003.0,0.15,0.0,5.000000000504466,1.157182692220986e-17,2.314365384441972e-18
正三角形,5,100000003.0,0.15,1.0,5.000000000078339,1.397321313638393e-17,2.794642627276786e-18
正三角形,5,100000003.0,0.15,2.0,4.999999999522148,1.4311720321290974e-17,2.862344064258195e-18
正三角形,5,100000003.0,0.15,3.0,4.999999999776396,7.439866664319411e-18,1.4879733328638822e-18
正三角形,5,100000003.0,0.15,4.0,5.0000000004040865,6.1209008317321084e-18,1.2241801663464217e-18
正三角形,5,100000003.0,0.15,5.0,5.000000000338055,2.1417385437587838e-17,4.283477087517568e-18
正三角形,5,100000003.0,0.15,6.0,4.9999999997004165,3.5764199414553945e-17,7.152839882910789e-18
正三角形,5,100000003.0,0.15,7.0,4.999999999588345,2.3681066054359136e-17,4.736213210871827e-18
正三角形,5,100000003.0,0.15,8.0,5.000000000186086,1.1450886784985428e-18,2.2901773569970857e-19
正三角形,5,100000003.0,0.15,9.0,5.000000000447315,1.812962654495922e-17,3.625925308991844e-18
正三角形,5,100000003.0,0.15,10.0,4.999999999916559,7.943819289789543e-17,1.5887638579579085e-17
正三角形,5,100000003.0,0.15,11.0,4.999999999539095,1.1135919299732796e-16,2.227183859946559e-17
正三角形,5,100000003.0,0.15,12.0,5.000000000001695,6.607058645362139e-17,1.3214117290724278e-17
正三角形,5,100000003.0,0.15,13.0,5.000000000477183,4.3490920534146926e-17,8.698184106829386e-18
正三角形,5,100000003.0,0.15,14.0,5.000000000065681,2.0789820664975104e-16,4.157964132995021e-17
正三角形,5,100000003.0,0.15,15.0,4.99999999947823,5.341086534713506e-16,1.0682173069427012e-16
正三角形,5,100000003.0,0.15,16.0,4.9999999998543085,7.833147251958262e-16,1.5666294503916525e-16
正三角形,5,100000003.0,0.15,17.0,5.000000000610046,1.0184194941469881e-15,2.0368389882939762e-16
正三角形,5,100000003.0,0.15,18.0,5.00000000028521,2.4009123931825565e-15,4.801824786365113e-16
正三角形,5,100000003.0,0.15,19.0,4.9999999992657855,8.271987688225943e-15,1.6543975376451885e-15
正三角形,5,100000003.0,0.15,20.0,4.999999999456434,3.330109274569136e-14,6.660218549138272e-15
正三角形,5,100000003.0,0.15,21.0,5.000000000852237,3.6988240156842603e-13,7.397648031368521e-14
正三角形,5,100000003.0,0.15,22.0,5.0000000010303305,1.0263212951589902e-12,2.0526425903179806e-13
正三角形,5,100000003.0,0.15,23.0,4.99999999914415,1.710861749896306e-13,3.421723499792612e-14
正三角形,5,100000003.0,0.15,24.0,4.999999998303007,1.1595595736541896e-13,2.3191191473083792e-14
正三角形,5,100000003.0,0.15,25.0,5.000000000601632,1.5236203040592505e-13,3.047240608118501e-14
正三角形,5,100000003.0,0.15,26.0,5.000000002642433,4.3589922727545184e-13,8.717984545509037e-14
正三角形,5,100000003.0,0.15,27.0,5.000000000163859,1.0049348974985517e-10,2.0098697949971036e-11
正三角形,5,100000003.0,0.15,28.0,4.999999996198989,4.051885424416134e-13,8.103770848832268e-14
正三角形,5,100000003.0,0.15,29.0,4.999999998140016,1.0014108692096582e-13,2.0028217384193165e-14
正三角形,5,100000003.0,0.15,30.0,5.000000005011251,4.428576095982472e-14,8.857152191964945e-15
正三角形,5,100000003.0,0.15,31.0,5.000000005224454,2.1053591781864974e-14,4.2107183563729945e-15
正三角形,5,100000003.0,0.15,32.0,4.9999999941352185,1.5457895424617397e-14,3.0915790849234795e-15
正三角形,5,100000003.0,0.15,33.0,4.999999987752408,2.3409282768013036e-14,4.681856553602607e-15
正三角形,5,100000003.0,0.15,34.0,5.000000005054157,3.423896379452431e-14,6.8477927589048626e-15
正三角形,5,100000003.0,0.15,35.0,5.000000032705515,3.5354652976602124e-14,7.070930595320425e-15
正三角形,5,100000003.0,0.15,36.0,5.000000009039695,3.877706943385245e-14,7.755413886770489e-15
正三角形,5,100000003.0,0.15,37.0,5.000000623275746,4.800022228487612e-12,9.600044456975223e-13
正三角形,5,100000003.0,0.15,38.0,5.000000034031067,8.791383407085654e-14,1.758276681417131e-14
