名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,10003.0,0.1,0.0,4.999999997281347,0.2499999991721807,0.049999999834436135
正三角形,5,10003.0,0.1,1.0,5.00000000030503,0.0002716346684272104,5.432693368544207e-05
正三角形,5,10003.0,0.1,2.0,5.000000000066752,4.944564248714112e-06,9.889128497428224e-07
正三角形,5,10003.0,0.1,3.0,4.9999999999128635,2.7237292029716775e-07,5.447458405943355e-08
正三角形,5,10003.0,0.1,4.0,4.999999999943837,2.734655272457389e-08,5.469310544914778e-09
正三角形,5,10003.0,0.1,5.0,5.00000000003539,4.038163217877247e-09,8.076326435754493e-10
正三角形,5,10003.0,0.1,6.0,5.000000000048416,7.818179256792036e-10,1.5636358513584072e-10
正三角形,5,10003.0,0.1,7.0,4.999999999990509,1.850373340010497e-10,3.7007466800209944e-11
正三角形,5,10003.0,0.1,8.0,4.999999999960511,5.111296356110293e-11,1.0222592712220586e-11
正三角形,5,10003.0,0.1,9.0,4.999999999993966,1.5953656433608343e-11,3.1907312867216687e-12
正三角形,5,10003.0,0.1,10.0,5.000000000029584,5.4956944706747555e-12,1.099138894134951e-12
正三角形,5,10003.0,0.1,11.0,5.000000000015266,2.052787969419253e-12,4.105575938838506e-13
正三角形,5,10003.0,0.1,12.0,4.999999999980622,8.20204021196817e-13,1.640408042393634e-13
正三角形,5,10003.0,0.1,13.0,4.99999999998017,3.468591764308948e-13,6.937183528617896e-14
正三角形,5,10003.0,0.1,14.0,5.000000000009626,1.5395549907163914e-13,3.0791099814327826e-14
正三角形,5,10003.0,0.1,15.0,5.000000000020717,7.123155792596224e-14,1.4246311585192447e-14
正三角形,5,10003.0,0.1,16.0,4.999999999998974,3.4160161776085315e-14,6.832032355217063e-15
正三角形,5,10003.0,0.1,17.0,4.9999999999812506,1.6903342842954505e-14,3.380668568590901e-15
正三角形,5,10003.0,0.1,18.0,4.999999999994136,8.599336072836836e-15,1.7198672145673672e-15
正三角形,5,10003.0,0.1,19.0,5.000000000014749,4.483052323301966e-15,8.966104646603933e-16
正三角形,5,10003.0,0.1,20.0,5.000000000010672,2.3876804597421676e-15,4.775360919484336e-16
正三角形,5,10003.0,0.1,21.0,4.999999999990461,1.2963830895746675e-15,2.592766179149335e-16
正三角形,5,10003.0,0.1,22.0,4.9999999999867555,7.166109330749331e-16,1.4332218661498662e-16
正三角形,5,10003.0,0.1,23.0,5.000000000003924,4.026162061486255e-16,8.05232412297251e-17
正三角形,5,10003.0,0.1,24.0,5.000000000013659,2.2936155694337187e-16,4.5872311388674373e-17
正三角形,5,10003.0,0.1,25.0,5.000000000001378,1.3232631044791736e-16,2.6465262089583473e-17
正三角形,5,10003.0,0.1,26.0,4.999999999987811,7.736627759263022e-17,1.5473255518526046e-17
正三角形,5,10003.0,0.1,27.0,4.999999999994231,4.5821909110919937e-17,9.164381822183988e-18
正三角形,5,10003.0,0.1,28.0,5.000000000009274,2.740758594998152e-17,5.481517189996304e-18
正三角形,5,10003.0,0.1,29.0,5.0000000000088285,1.652722003131407e-17,3.305444006262814e-18
正三角形,5,10003.0,0.1,30.0,4.999999999994541,1.0078114208896381e-17,2.0156228417792763e-18
正三角形,5,10003.0,0.1,31.0,4.999999999989664,6.228804179700148e-18,1.2457608359400297e-18
正三角形,5,10003.0,0.1,32.0,5.000000000001331,3.88283169514151e-18,7.765663390283019e-19
正三角形,5,10003.0,0.1,33.0,5.000000000010277,2.428135826059846e-18,4.856271652119692e-19
正三角形,5,10003.0,0.1,34.0,5.000000000002548,1.5313261816934646e-18,3.062652363386929e-19
正三角形,5,10003.0,0.1,35.0,4.999999999991181,9.827572434835014e-19,1.965514486967003e-19
正三角形,5,10003.0,0.1,36.0,4.9999999999943014,6.380921923526457e-19,1.2761843847052914e-19
正三角形,5,10003.0,0.1,37.0,5.000000000006291,4.128378358237922e-19,8.256756716475844e-20
正三角形,5,10003.0,0.1,38.0,5.000000000007784,2.670261729859814e-19,5.340523459719628e-20
正三角形,5,10003.0,0.1,39.0,4.999999999996881,1.766505747294985e-19,3.53301149458997e-20
正三角形,5,10003.0,0.1,40.0,4.999999999991379,1.19718473971686e-19,2.39436947943372e-20
正三角形,5,10003.0,0.1,41.0,4.999999999999778,8.047088844446699e-20,1.6094177688893397e-20
正三角形,5,10003.0,0.1,42.0,5.000000000008199,5.2937883562598224e-20,1.0587576712519645e-20
正三角形,5,10003.0,0.1,43.0,5.000000000003276,3.5499616404663144e-20,7.099923280932629e-21
正三角形,5,10003.0,0.1,44.0,4.999999999993328,2.5086585034902583e-20,5.017317006980517e-21
