名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,10003.0,0.1,0.0,2.4999999972819116,0.2499999991721807,0.049999999834436135
正三角形,5,10003.0,0.1,1.0,0.5141943744447912,0.0002716346684272104,5.432693368544207e-05
正三角形,5,10003.0,0.1,2.0,0.27745909435407945,4.944564248714112e-06,9.889128497428224e-07
正三角形,5,10003.0,0.1,3.0,0.17756777372367313,2.7237292029716775e-07,5.447458405943355e-08
正三角形,5,10003.0,0.1,4.0,0.1225472549352488,2.734655272457389e-08,5.469310544914778e-09
正三角形,5,10003.0,0.1,5.0,0.08836317086733869,4.038163217877247e-09,8.076326435754493e-10
正三角形,5,10003.0,0.1,6.0,0.06564633173363105,7.818179256792036e-10,1.5636358513584072e-10
正三角形,5,10003.0,0.1,7.0,0.04987468884465863,1.850373340010497e-10,3.7007466800209944e-11
正三角形,5,10003.0,0.1,8.0,0.03856699481430632,5.111296356110293e-11,1.0222592712220586e-11
正三角形,5,10003.0,0.1,9.0,0.030250349130615892,1.5953656433608343e-11,3.1907312867216687e-12
正三角形,5,10003.0,0.1,10.0,0.024003722383819204,5.4956944706747555e-12,1.099138894134951e-12
正三角形,5,10003.0,0.1,11.0,0.019228655363299298,2.052787969419253e-12,4.105575938838506e-13
正三角形,5,10003.0,0.1,12.0,0.015524050786965195,8.20204021196817e-13,1.640408042393634e-13
正三角形,5,10003.0,0.1,13.0,0.012613874976020263,3.468591764308948e-13,6.937183528617896e-14
正三角形,5,10003.0,0.1,14.0,0.010303682204301622,1.5395549907163914e-13,3.0791099814327826e-14
正三角形,5,10003.0,0.1,15.0,0.008453617064832636,7.123155792596224e-14,1.4246311585192447e-14
正三角形,5,10003.0,0.1,16.0,0.006961187217612397,3.4160161776085315e-14,6.832032355217063e-15
正三角形,5,10003.0,0.1,17.0,0.005750003884310064,1.6903342842954505e-14,3.380668568590901e-15
正三角形,5,10003.0,0.1,18.0,0.004762261653226166,8.599336072836836e-15,1.7198672145673672e-15
正三角形,5,10003.0,0.1,19.0,0.003953615085908761,4.483052323301966e-15,8.966104646603933e-16
正三角形,5,10003.0,0.1,20.0,0.0032896236258309003,2.3876804597421676e-15,4.775360919484336e-16
正三角形,5,10003.0,0.1,21.0,0.0027432423609552265,1.2963830895746675e-15,2.592766179149335e-16
正三角形,5,10003.0,0.1,22.0,0.002293022634228332,7.166109330749331e-16,1.4332218661498662e-16
正三角形,5,10003.0,0.1,23.0,0.001921802444649416,4.026162061486255e-16,8.05232412297251e-17
正三角形,5,10003.0,0.1,24.0,0.0016157400689050562,2.2936155694337187e-16,4.5872311388674373e-17
正三角形,5,10003.0,0.1,25.0,0.001363591730162878,1.3232631044791736e-16,2.6465262089583473e-17
正三角形,5,10003.0,0.1,26.0,0.001156165208365038,7.736627759263022e-17,1.5473255518526046e-17
正三角形,5,10003.0,0.1,27.0,0.000985901961660471,4.5821909110919937e-17,9.164381822183988e-18
正三角形,5,10003.0,0.1,28.0,0.0008465542865208124,2.740758594998152e-17,5.481517189996304e-18
正三角形,5,10003.0,0.1,29.0,0.0007329335949030386,1.652722003131407e-17,3.305444006262814e-18
正三角形,5,10003.0,0.1,30.0,0.0006407125039502659,1.0078114208896381e-17,2.0156228417792763e-18
正三角形,5,10003.0,0.1,31.0,0.0005662680721720708,6.228804179700148e-18,1.2457608359400297e-18
正三角形,5,10003.0,0.1,32.0,0.0005065568050663751,3.88283169514151e-18,7.765663390283019e-19
正三角形,5,10003.0,0.1,33.0,0.0004590144117711231,2.428135826059846e-18,4.856271652119692e-19
正三角形,5,10003.0,0.1,34.0,0.00042147500321680745,1.5313261816934646e-18,3.062652363386929e-19
正三角形,5,10003.0,0.1,35.0,0.00039210567180168656,9.827572434835014e-19,1.965514486967003e-19
正三角形,5,10003.0,0.1,36.0,0.00036935331513681833,6.380921923526457e-19,1.2761843847052914e-19
正三角形,5,10003.0,0.1,37.0,0.0003519012551361781,4.128378358237922e-19,8.256756716475844e-20
正三角形,5,10003.0,0.1,38.0,0.0003386337236358719,2.670261729859814e-19,5.340523459719628e-20
正三角形,5,10003.0,0.1,39.0,0.00032860668176299133,1.766505747294985e-19,3.53301149458997e-20
正三角形,5,10003.0,0.1,40.0,0.00032102374466230207,1.19718473971686e-19,2.39436947943372e-20
正三角形,5,10003.0,0.1,41.0,0.0003152162201304275,8.047088844446699e-20,1.6094177688893397e-20
正三角形,5,10003.0,0.1,42.0,0.0003106264570077288,5.2937883562598224e-20,1.0587576712519645e-20
正三角形,5,10003.0,0.1,43.0,0.00030679384904226583,3.5499616404663144e-20,7.099923280932629e-21
正三角形,5,10003.0,0.1,44.0,0.0003033429607753771,2.5086585034902583e-20,5.017317006980517e-21
正三角形,5,10003.0,0.1,45.0,0.0002999733404319061,1.7808240704068082e-20,3.561648140813616e-21
正三角形,5,10003.0,0.1,46.0,0.00029645066633897545,1.1971402024241712e-20,2.3942804048483423e-21
正三角形,5,10003.0,0.1,47.0,0.00029259894198903043,7.92866357851137e-21,1.585732715702274e-21
正三角形,5,10003.0,0.1,48.0,0.0002882935128429849,5.74096812482703e-21,1.148193624965406e-21
正三角形,5,10003.0,0.1,49.0,0.000283454726925572,4.427428983325444e-21,8.854857966650888e-22
正三角形,5,10003.0,0.1,50.0,0.00027804210279400214,3.164753477284441e-21,6.329506954568883e-22
正三角形,5,10003.0,0.1,51.0,0.0002720489040290335,2.0437420985888357e-21,4.0874841971776713e-22
正三角形,5,10003.0,0.1,52.0,0.0002654970498065035,1.4275035345919376e-21,2.855007069183875e-22
正三角形,5,10003.0,0.1,53.0,0.00025843231651030284,1.20679502199521e-21,2.41359004399042e-22
正三角形,5,10003.0,0.1,54.0,0.00025091980585782215,9.879581144165347e-22,1.9759162288330694e-22
正三角形,5,10003.0,0.1,55.0,0.00024303967109703847,6.540276425095026e-22,1.3080552850190054e-22
正三角形,5,10003.0,0.1,56.0,0.0002348831050541696,4.0057640971316152e-22,8.01152819426323e-23
正三角形,5,10003.0,0.1,57.0,0.00022654860235688738,3.399585426016321e-22,6.799170852032642e-23
正三角形,5,10003.0,0.1,58.0,0.00021813851298162695,3.4127853523237294e-22,6.825570704647459e-23
正三角形,5,10003.0,0.1,59.0,0.00020975590563368783,2.6264108211757596e-22,5.252821642351519e-23
正三角形,5,10003.0,0.1,60.0,0.00020150175812201518,1.4321350102581542e-22,2.8642700205163084e-23
正三角形,5,10003.0,0.1,61.0,0.00019347248863065474,9.360505323145399e-23,1.87210106462908e-23
正三角形,5,10003.0,0.1,62.0,0.00018575783702820173,1.1515375762898217e-22,2.3030751525796435e-23
正三角形,5,10003.0,0.1,63.0,0.00017843909937632644,1.202095615656045e-22,2.4041912313120902e-23
正三角形,5,10003.0,0.1,64.0,0.00017158771224266844,7.445035645622842e-23,1.4890071291245685e-23
正三角形,5,10003.0,0.1,65.0,0.0001652641771952452,3.087318875521941e-23,6.174637751043882e-24
正三角形,5,10003.0,0.1,66.0,0.00015951731051005706,3.3447438152252643e-23,6.689487630450529e-24
正三角形,5,10003.0,0.1,67.0,0.00015438379867262382,5.542997138803439e-23,1.1085994277606879e-23
正三角形,5,10003.0,0.1,68.0,0.000149888036666999,5.0656290041459e-23,1.01312580082918e-23
正三角形,5,10003.0,0.1,69.0,0.00014604222362087663,2.2202355138644564e-23,4.4404710277289124e-24
正三角形,5,10003.0,0.1,70.0,0.00014284668937834615,8.828547684678703e-24,1.7657095369357405e-24
正三角形,5,10003.0,0.1,71.0,0.00014029042574062532,2.2936383037861432e-23,4.587276607572286e-24
正三角形,5,10003.0,0.1,72.0,0.00013835179686598272,3.58365375834865e-23,7.1673075166973e-24
正三角形,5,10003.0,0.1,73.0,0.0001369994043584763,2.4912546882840936e-23,4.982509376568187e-24
正三角形,5,10003.0,0.1,74.0,0.00013619308396885867,6.554216795972581e-24,1.3108433591945161e-24
正三角形,5,10003.0,0.1,75.0,0.0001358850124873282,7.549655372409896e-24,1.5099310744819791e-24
正三角形,5,10003.0,0.1,76.0,0.00013602090485373265,2.3088110982505096e-23,4.617622196501019e-24
正三角形,5,10003.0,0.1,77.0,0.00013654128235557084,2.6301506855350796e-23,5.260301371070159e-24
正三角形,5,10003.0,0.1,78.0,0.0001373827931261391,1.1619291888057516e-23,2.323858377611503e-24
正三角形,5,10003.0,0.1,79.0,0.00013847956629971665,2.5289837534772808e-24,5.057967506954562e-25
正三角形,5,10003.0,0.1,80.0,0.00013976458114540452,1.2762192107013256e-23,2.552438421402651e-24
正三角形,5,10003.0,0.1,81.0,0.00014117103209077713,2.4328256748205452e-23,4.8656513496410905e-24
正三角形,5,10003.0,0.1,82.0,0.00014263366982984632,1.7624699073018385e-23,3.524939814603677e-24
正三角形,5,10003.0,0.1,83.0,0.0001440900981069218,3.783024656997186e-24,7.566049313994372e-25
正三角形,5,10003.0,0.1,84.0,0.0001454820056072531,5.8044003421939075e-24,1.1608800684387816e-24
正三角形,5,10003.0,0.1,85.0,0.00014675631262622336,1.989341813146308e-23,3.978683626292616e-24
正三角形,5,10003.0,0.1,86.0,0.00014786621270459073,2.190943478047397e-23,4.381886956094794e-24
正三角形,5,10003.0,0.1,87.0,0.00014877209034937095,8.364220659738887e-24,1.6728441319477774e-24
正三角形,5,10003.0,0.1,88.0,0.0001494422975897499,2.404987750861901e-24,4.809975501723802e-25
